11 Com b,Confirmed,,,326.03,1.29,0.231,,0.011664,2008,8/21/2015,94.8,2452899.6,,,,,,296.7,,,,,,Published in a refereed paper,Radial Velocity,,,,,11 Com,185.1791667,17.7927778,4.74,,,,,110.6,-0.35,2.7,19,G8 III,,4742,,,
11 Oph b,Confirmed,21,,730000,243,,,1.675862,2007,6/18/2018,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,Oph 1622-2405 b,,11 Oph,245.6041667,-24.0872222,,,,,14.03,145,,0.0162,,M9,0.011,2375,,,"Oph 1622-2405, Oph 11A"
11 UMi b,Confirmed,,,516.22,1.54,0.08,,0.012887,2009,8/12/2009,117.63,2452861.05,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,11 UMi,229.275,71.8238889,5.02,,,,,119.5,0.04,1.8,24.08,K4III,1.56,4340,,,
11 Uma b,Unconfirmed,3.72,,651.9,1.56,0.7,,0.049367,2008,11/25/2010,6.24,53469.3,,,,,,,,,,,,Published in a refereed paper,Default,,,,,11 Uma,137.0958333,66.8733333,5.16,,,,,31.6,-0.245,1.81,36.3,K5III,,4090,,,
14 And b,Confirmed,,,185.84,0.83,0,,0.010864,2008,8/27/2014,,2452861.4,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,14 And,352.8208333,39.2361111,5.22,4.1,3.02,2.61,2.33,76.4,-0.24,2.2,11,K0III,,4813,,,
14 Her b,Confirmed,,,1773.4,2.77,0.369,,0.153039,2002,8/27/2014,22.6,2451372.7,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,14 Her,242.5958333,43.8216667,6.67,,,,,18.1,0.43,0.9,0.708,K0 V,5.1,5311,,,
14 Her c,Unconfirmed,2.1,,6906,6.9,0,,0.381215,2006,11/25/2015,218,9100,,,,,,,,,,,,Submitted to a professional journal,Default,,,,,14 Her,242.5958333,43.8216667,6.67,,,,,18.1,0.43,0.9,0.708,K0 V,5.1,5311,,,
16 Cyg B b,Confirmed,,,799.5,1.68,0.689,,0.078468,1996,8/27/2014,83.4,2450539.3,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,16 Cyg B,295.4625,50.5175,6.2,,,,,21.41,0.08,1.01,0.98,G2.5 V,8,5766,,,
18 Del b,Confirmed,,,993.3,2.6,0.08,,0.035568,2008,8/27/2014,166.1,2451672,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,18 Del,314.6083333,10.8391667,5.52,,4.03,3.44,3.67,73.1,-0.052,2.3,8.5,G6III,,4979,,,
19b1-02162 b,Unconfirmed,,1.97,0.59862739,,,,,2013,10/11/2013,,,,,,,,,,,,,,Published in a refereed paper,Default,,,,,19b1-02162,293.0112,36.4848,17,,,,,2188,,0.95,1.12,G8,,5500,,,
1I/'Oumuamua,Confirmed,,2.00E-06,,,1.196,,,2017,3/25/2020,241.5,2458055,,,,,,,,,,,,Published in a refereed paper,Imaging,,Theoretical,"1I/2017_U1, 'Oumuamua",,Sun,0,0,,,,,,,,1,1,,,,,,
1RXS 1609 b,Confirmed,14,1.7,,330,,,2.275862,2008,11/15/2018,,,,,,,,,,1800,,,4,Published in a refereed paper,Imaging,,,"1RXS J160929.1-210524 b, 1RXS J1609b, 1RXS J1609-2105b, RXJ 1609","CO, H2O, K",1RXS 1609,242.375,-21.0827778,,10.99,9.82,9.12,8.92,145,,0.73,1.35,K7V,0.011,4060,,,"1RXS1609, 1RXS J1609, 1RXS J160929"
1RXS J235133.3+312720 b,Confirmed,32,,,120,,,,2012,2/26/2019,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,1RXS J235133.3+312720,357.8903083,31.45639469,13.6,,,,,,,0.45,,M2V,0.1,,,,2MASS J23513366+3127229
1SWASP J1407 b,Confirmed,,,3725,3.9,,,,2012,10/29/2014,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,,1SWASP J1407,211.95,-39.76194447,12.4,,,,,133,,0.9,0.99,,0.016,4400,,,
1SWASPJ115718.66+261906.1 b,Unconfirmed,,1.55,1.226804,,,,,2007,11/18/2007,,,,,,,,,,,,,,Published in a refereed paper,Default,,,,,1SWASPJ115718.66+261906.1,179.3291667,26.3183333,11.12,,10.22,10.1,10.06,,,,1.32,,,,,,
1SWASPJ130322.00+350525.4 b,Unconfirmed,,1.06,2.674207,,,,,2007,11/18/2007,,,,,,,,,,,,,,Published in a refereed paper,Default,,,,,1SWASPJ130322.00+350525.4,195.8416667,35.0902778,10.89,,9.5,9.22,9.12,,,,1.12,,,,,,
1SWASPJ152131.01+213521.3 b,Unconfirmed,,1.62,1.338018,,,,,2007,11/18/2007,,,,,,,,,,,,,,Published in a refereed paper,Default,,,,,1SWASPJ152131.01+213521.3,230.3791667,21.5891667,12.19,,11.53,11.29,10.83,,,,1.19,,,,,,
1SWASPJ160242.43+290850.1 b,Unconfirmed,,1.53,1.304693,,,,,2007,11/18/2007,,,,,,,,,,,,,,Published in a refereed paper,Default,,,,,1SWASPJ160242.43+290850.1,240.675,29.1472222,12.42,,11.32,10.94,10.43,,,,0.91,,,,,,
1SWASPJ161732.90+242119.0 b,Unconfirmed,,0.76,1.453738,,,,,2007,11/18/2007,,,,,,,,,,,,,,Published in a refereed paper,Default,,,,,1SWASPJ161732.90+242119.0,244.3875,24.3552778,11.96,,9.85,9.47,9.35,,,,0.77,,,,,,
21 Her (AB) b,Candidate,,,57.67,0.48,,,,2002,12/12/2018,,,,,,,,580,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"o Her b, HD 147869 b, 21 Her b",,21 Her (AB),246.0451197,6.948210081,5.82,,5.76,5.77,5.75,113.45,,4.4,,A+M,,9500,,,"o Her, HD 147869, 21 Her"
24 Boo b,Confirmed,,,30.3506,0.19,0.042,,,2018,4/16/2018,210,2450008.6,,,,,,59.9,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,24 Boo,217.1625,49.84500003,5.6,,,,,100,-0.77,0.99,10.64,G3IV,6.92,4893,,,
24 Sex b,Confirmed,,,452.8,1.333,0.09,,0.017821,2010,5/23/2014,9.2,2454762,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,24 Sex,155.8682058,-0.902243676,7.38,,,,,72.2084,-0.03,1.54,4.9,G5,2.7,5098,,,
24 Sex c,Confirmed,,,883,2.08,0.29,,0.027807,2010,5/23/2014,220.5,2454930,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,24 Sex,155.8682058,-0.902243676,7.38,,,,,72.2084,-0.03,1.54,4.9,G5,2.7,5098,,,
2I/Borisov,Confirmed,,6.20E-05,,,3.155,,,2019,4/22/2020,,,,,,,,,,,,,,Announced on a website,Imaging,,,C/2019 Q4 (Borisov),"C2, CN, CO, H2O, NH2, O I, OH",Sun,0,0,,,,,,,,1,1,,,,,,
2M 0103-55 (AB) b,Confirmed,13,,,84,,,,2013,2/23/2016,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 0103-55 (AB),15.9,-55.2656,,,7.5,,,47.2,,0.4,,M,0.03,,,,
2M 0122-24 b,Confirmed,20,1,,52,,,,2013,2/23/2016,,,,,,,,,,1380,,,,Published in a refereed paper,Imaging,,,,,2M 0122-24,20.7125,-24.6142,,,,,,36,,0.4,,M3.5,0.12,,,,
2M 0219-39 b,Confirmed,13.9,1.44,,156,,,,2015,2/23/2016,,,,,,,,,,1683,,,,Published in a refereed paper,Imaging,Spectrum,Theoretical,,,2M 0219-39,34.84166667,-39.42305557,,,,,,39.4,,0.11,0.27,M6,,3064,,,2MASS J0292210-3925225
2M 0441+23 b,Confirmed,7.5,,,15,,,0.107143,2010,2/23/2016,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 0441+23,70.4375,23.0308333,,,14.2,13.72,13.16,140,,0.02,,M8.5,0.001,,,,
2M 1759-2739 b,Candidate,,1.262,2.188051,,,,,2019,1/23/2019,,,,,,,,,2000,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,2MASS J17595014-2739369 b,,2M 1759-2739,269.9583334,-27.6602778,13.5,,,,,,,1.2856,1.6269,,,5787,,,2MASS J17595014-2739369
2M 1938+46 b,Confirmed,1.9,,416,0.92,,,,2015,5/6/2016,,,,,,,,,,,,,,Published in a refereed paper,Timing,TTV,,Kepler-451 b,,2M  1938+46,294.6375,46.0663889,,,,,,,,0.6,,sdB+M,,,,,Kepler-451
2M 2140+16 b,Confirmed,20,0.92,7340,3.53,0.26,46.2,0.1412,2010,1/19/2012,223,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 2140+16,325.1208333,16.4216667,,,,,,25,,0.08,0.1,,,2300,,,
2M 2206-20 b,Confirmed,30,1.3,8686,4.48,0,44.3,0.167979,2010,1/19/2012,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 2206-20,331.5958333,-20.785,,,,,,26.67,,0.13,0.11,,,2350,,,
2M 2236+4751 b,Confirmed,12.5,,,230,,,3.7,2016,11/3/2016,,,,,,,,,,1200,,,,Published in a refereed paper,Imaging,Spectrum,,,"CO, H2O",2M 2236+4751,339.1041667,47.86194447,12.5,,,,,63,,0.6,,K7,0.12,,,,
2M J2126-81 b,Confirmed,13.3,,,6900,,,,2016,2/23/2016,,,,,,,,,,1800,,,,Published in a refereed paper,Imaging,Spectrum,,,,TYC 9486-927-1,321.3666667,-81.64111113,9,,,,,24.75,,0.4,,M2,0.027,,,,
2M0045+16,Confirmed,25,,,,,,,2019,6/7/2019,,,,,,,,,,,,,,Submitted to a professional journal,Imaging,Spectrum,,,,,11.33929167,16.57905558,,,,,,15.4,,,,,,,,,
2M0117-34,Confirmed,16.4,,,,,,,2019,6/7/2019,,,,,,,,,,,,,,Submitted to a professional journal,Imaging,Spectrum,,,,,19.44750002,-34.05694445,,,,,,39.02,,,,,,,,,
2M0326+29 b,Candidate,48,,2750,,0.11,37,,2014,10/3/2019,,,,,,,,,,,,,,Announced on a professional conference,Astrometry,Astrometry,,2M0326+29B,,2M0326+29A,51.55695834,29.83755558,,,12.99,,,35.1,,0.061,,L3.5,,,,,2MASS J03261367+2950152
2M0805+48 b,Confirmed,66.28,,740.43,0.82,0.423,111.85,,2020,5/1/2020,304.2,,,,,,,,,,,,,Published in a refereed paper,Astrometry,Astrometry,,,,2M0805+48,121.3833333,40.20916668,,,,,,21.38,,,,L4,,,,,
2M1059-21 b,Confirmed,66.95,,690,0.8,0.146,32.9,,2020,5/1/2020,256,,,,,,,,,,,,,Published in a refereed paper,Astrometry,Astrometry,,,,2M1059-21,164.9625,-21.21916667,,,,,,31.81,,0.81,,L2,,,,,
2M1207 A,Confirmed,60,,,42,,,,2004,9/16/2018,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,"2M1207, 2MASS J12073346-3932539",,,181.8875,-39.54833336,,,,,,52.4,,,,,,,,,
2M1207 b,Confirmed,5,,,42,,,0.877863,2004,12/4/2018,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,"2MASS J12073346-3932539 b, 2M 1207 b, 2M1207 b, 2M1207B, 2MASS1207-3932 B, 2MASSW J1207334-393254 b, 2M 1207-39 b",,,181.8875,-39.54833336,,,,,,52.4,,,,,,,,,
2M1510A a,Confirmed,40,1.57,20.902,0.063,0.31,88.5,,2020,3/24/2020,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,2MASSW  J1510478-281817 a,,,227.6991667,-28.30472223,,,,,,36.6,,,,,,,,,
2M1510A b,Confirmed,39.3,1.57,20.902,0.063,0.31,88.5,,2020,3/24/2020,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,,227.6991667,-28.30472223,,,,,,36.6,,,,,,,,,
2MASS J00413538-5621127 A,Confirmed,30,,,,,,,2009,2/27/2019,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,10.3974532,-56.35355144,,,,,,34.7133,,,,,,,,,
2MASS J00413538-5621127 B,Confirmed,15,,126,8.9,,,,2010,2/27/2019,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,10.3974532,-56.35355144,,,,,,34.7133,,,,,,,,,
2MASS J0249-0557 (AB) c,Confirmed,11.6,,,,,,,2018,7/31/2018,,,,,,,,,,,,,,Published in a refereed paper,Astrometry,Astrometry,,,,,42.48495208,-5.959836363,,,,,,48.9,,,,,,,,,
2MASS J0249-0557A,Confirmed,48,,,,,,,2018,7/31/2018,,,,,,,,,,,,,,Published in a refereed paper,Astrometry,Astrometry,,,,,42.48495208,-5.959836363,,,,,,48.9,,,,,,,,,
2MASS J0249-0557B,Confirmed,44,,,,,,,2018,7/31/2018,,,,,,,,,,,,,,Published in a refereed paper,Astrometry,Astrometry,,,,,42.48495208,-5.959836363,,,,,,48.9,,,,,,,,,
2MASS J10475385+2124234,Confirmed,42,,,,,,,1999,4/11/2020,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Theoretical,,2MASS J1047+21,,,161.974394,21.40651901,,,,,,10.56,,,,,,,,,
2MASS J11011926-7732383 A,Confirmed,50,,,,,,,2004,2/27/2019,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,165.330275,-77.54397502,,,,,,168,,,,,,,,,
2MASS J11011926-7732383 B,Confirmed,30,,,240,,,,2004,2/27/2019,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,165.330275,-77.54397502,,,,,,168,,,,,,,,,
2MASS J11193254 AB,Confirmed,3.7,,32850,,,,,2017,6/30/2017,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2MASS J11193254 AB,169.8855958,-11.62963891,,,,,14.62,,,,,L7,0.01,,,,
2MASS J1155-7919 b,Confirmed,10,,,582,,,,2020,2/13/2020,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J1155-7919,178.769,-79.32,14,,,,,101.15,,,,M3,0.005,,,,
2MASS J1450-7841 A,Confirmed,40,,,300,,,,2017,5/17/2018,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J1450-7841 B,222.6708333,-78.69388891,,,,,,75,,0.04,,M9p,,,,,
2MASS J1450-7841 B,Confirmed,40,,,300,,,,2017,5/17/2018,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J1450-7841 A,222.675,-78.69472225,,,,,,75,,0.04,,M8p,,,,,
