Название,Статус ,Масса,Радиус,Угловая скорость (angular_distance),Большая полуось (semi_major_axis),Открытие,Опубликованность,Тип обнаружения,Альтернативное имя,Обнаруженные молекулы,Звезда-хост,Расстояние до звезды-хоста,Масса звезды,Радиус звезды
11 Com b,Confirmed,,,0.011664,1.29,2008,Published in a refereed paper,Radial Velocity,,,11 Com,110.6,2.7,19
11 Oph b,Confirmed,21,,1.675862,243,2007,Published in a refereed paper,Imaging,Oph 1622-2405 b,,11 Oph,145,0.0162,
11 UMi b,Confirmed,,,0.012887,1.54,2009,Published in a refereed paper,Radial Velocity,,,11 UMi,119.5,1.8,24.08
14 And b,Confirmed,,,0.010864,0.83,2008,Published in a refereed paper,Radial Velocity,,,14 And,76.4,2.2,11
14 Her b,Confirmed,,,0.153039,2.77,2002,Published in a refereed paper,Radial Velocity,,,14 Her,18.1,0.9,0.708
16 Cyg B b,Confirmed,,,0.078468,1.68,1996,Published in a refereed paper,Radial Velocity,,,16 Cyg B,21.41,1.01,0.98
18 Del b,Confirmed,,,0.035568,2.6,2008,Published in a refereed paper,Radial Velocity,,,18 Del,73.1,2.3,8.5
1I/'Oumuamua,Confirmed,,2.00E-06,,,2017,Published in a refereed paper,Imaging,"1I/2017_U1, 'Oumuamua",,Sun,,1,1
1RXS 1609 b,Confirmed,14,1.7,2.275862,330,2008,Published in a refereed paper,Imaging,"1RXS J160929.1-210524 b, 1RXS J1609b, 1RXS J1609-2105b, RXJ 1609","CO, H2O, K",1RXS 1609,145,0.73,1.35
1RXS J235133.3+312720 b,Confirmed,32,,,120,2012,Published in a refereed paper,Imaging,,,1RXS J235133.3+312720,,0.45,
1SWASP J1407 b,Confirmed,,,,3.9,2012,Published in a refereed paper,Primary Transit,,,1SWASP J1407,133,0.9,0.99
24 Boo b,Confirmed,,,,0.19,2018,Published in a refereed paper,Radial Velocity,,,24 Boo,100,0.99,10.64
24 Sex b,Confirmed,,,0.017821,1.333,2010,Published in a refereed paper,Radial Velocity,,,24 Sex,72.2084,1.54,4.9
24 Sex c,Confirmed,,,0.027807,2.08,2010,Published in a refereed paper,Radial Velocity,,,24 Sex,72.2084,1.54,4.9
2I/Borisov,Confirmed,,6.20E-05,,,2019,Announced on a website,Imaging,C/2019 Q4 (Borisov),"C2, CN, CO, H2O, NH2, O I, OH",Sun,,1,1
2M 0103-55 (AB) b,Confirmed,13,,,84,2013,Published in a refereed paper,Imaging,,,2M 0103-55 (AB),47.2,0.4,
2M 0122-24 b,Confirmed,20,1,,52,2013,Published in a refereed paper,Imaging,,,2M 0122-24,36,0.4,
2M 0219-39 b,Confirmed,13.9,1.44,,156,2015,Published in a refereed paper,Imaging,,,2M 0219-39,39.4,0.11,0.27
2M 0441+23 b,Confirmed,7.5,,0.107143,15,2010,Published in a refereed paper,Imaging,,,2M 0441+23,140,0.02,
2M 1938+46 b,Confirmed,1.9,,,0.92,2015,Published in a refereed paper,Timing,Kepler-451 b,,2M  1938+46,,0.6,
2M 2140+16 b,Confirmed,20,0.92,0.1412,3.53,2010,Published in a refereed paper,Imaging,,,2M 2140+16,25,0.08,0.1
2M 2206-20 b,Confirmed,30,1.3,0.167979,4.48,2010,Published in a refereed paper,Imaging,,,2M 2206-20,26.67,0.13,0.11
2M 2236+4751 b,Confirmed,12.5,,3.7,230,2016,Published in a refereed paper,Imaging,,"CO, H2O",2M 2236+4751,63,0.6,
2M J2126-81 b,Confirmed,13.3,,,6900,2016,Published in a refereed paper,Imaging,,,TYC 9486-927-1,24.75,0.4,
2M0045+16,Confirmed,25,,,,2019,Submitted to a professional journal,Imaging,,,,15.4,,
2M0117-34,Confirmed,16.4,,,,2019,Submitted to a professional journal,Imaging,,,,39.02,,
2M1207 A,Confirmed,60,,,42,2004,Published in a refereed paper,Imaging,"2M1207, 2MASS J12073346-3932539",,,52.4,,
2M1207 b,Confirmed,5,,0.877863,42,2004,Published in a refereed paper,Imaging,"2MASS J12073346-3932539 b, 2M 1207 b, 2M1207 b, 2M1207B, 2MASS1207-3932 B, 2MASSW J1207334-393254 b, 2M 1207-39 b",,,52.4,,
2M1510A a,Confirmed,40,1.57,,0.063,2020,Published in a refereed paper,Primary Transit,2MASSW  J1510478-281817 a,,,36.6,,
2M1510A b,Confirmed,39.3,1.57,,0.063,2020,Published in a refereed paper,Primary Transit,,,,36.6,,
2MASS J00413538-5621127 A,Confirmed,30,,,,2009,Published in a refereed paper,Imaging,,,,34.7133,,
2MASS J00413538-5621127 B,Confirmed,15,,,8.9,2010,Published in a refereed paper,Imaging,,,,34.7133,,
2MASS J0249-0557 (AB) c,Confirmed,11.6,,,,2018,Published in a refereed paper,Astrometry,,,,48.9,,
