Proxima Centauri b,Confirmed,,,,0.048,2016,Published in a refereed paper,Radial Velocity,"alpha Cen C b, GL 551 C b, HIP 70890 b",,Proxima Centauri,1.295,0.12,0.141,Отсутствует значение углового расстояния
Proxima Centauri c,Confirmed,,,,1.48,2019,Announced on a website,Radial Velocity,,,Proxima Centauri,1.295,0.12,0.141,Отсутствует значение углового расстояния
Barnard's  b,Confirmed,,,,,2018,Published in a refereed paper,Radial Velocity,,,Barnard's star,1.8,0.163,0.178,Отсутствуют оба значения
Luhman 16 A,Confirmed,33.5,,,,2013,Published in a refereed paper,Imaging,"WISE J104915.57-531906.1 A, LUH 16 A, 2MASS J10491891-5319100 A",,,1.998,,,Отсутствуют оба значения
Luhman 16 B,Confirmed,28.6,,,,2013,Published in a refereed paper,Imaging,"LUH 16 B, WISE J104915.57-531906.1 B",,,1.998,,,Отсутствуют оба значения
WISE 0855-0714,Confirmed,6,,,,2014,Published in a refereed paper,Imaging,WISE J085510.83-071442.5,,,2.31,,,Отсутствуют оба значения
Wolf 359 b,Confirmed,,,,1.845,2019,Published in a refereed paper,Radial Velocity,GJ 406 b,,Wolf 359,2.42,,,Отсутствует значение углового расстояния
Wolf 359 c,Confirmed,,,,0.018,2019,Published in a refereed paper,Radial Velocity,GJ 406 c,,Wolf 359,2.42,,,Отсутствует значение углового расстояния
Lalande 21185 b,Confirmed,,,,0.068,2017,Published in a refereed paper,Radial Velocity,Gl 411 b,,Lalande 21185,2.55,0.46,0.393,Отсутствует значение углового расстояния
eps Eridani b,Confirmed,0.77,,1.059375,3.39,2000,Published in a refereed paper,Radial Velocity,"HD 22049, GJ 144, SAO 130564, HR 1084",,eps Eridani,3.2,0.83,0.895,10.44
Ross 128 b,Confirmed,,,,0.0496,2017,Published in a refereed paper,Radial Velocity,,,Ross 128,3.3806,0.168,0.1967,Отсутствует значение углового расстояния
PSR J1544+4937 b,Confirmed,,,,0.00537,2013,Published in a refereed paper,Timing,,,PSR J1544+4937,3.5,1.7,,Отсутствует значение углового расстояния
GJ 15A b,Confirmed,,,,0.072,2014,Published in a refereed paper,Radial Velocity,HD 1326A b,,GJ 15A,3.587,0.375,0.3863,Отсутствует значение углового расстояния
YZ Cet b,Confirmed,,,,0.01634,2017,Published in a refereed paper,Radial Velocity,,,YZ Cet,3.6,0.13,0.168,Отсутствует значение углового расстояния
YZ Cet c,Confirmed,,,,0.02156,2017,Published in a refereed paper,Radial Velocity,,,YZ Cet,3.6,0.13,0.168,Отсутствует значение углового расстояния
YZ Cet d,Confirmed,,,,0.02851,2017,Published in a refereed paper,Radial Velocity,"GJ 54.1, HIP 5643",,YZ Cet,3.6,0.13,0.168,Отсутствует значение углового расстояния
eps Ind A b,Confirmed,3.25,,,11.55,2018,Submitted to a professional journal,Radial Velocity,,,eps Ind A,3.62,0.762,,Отсутствует значение углового расстояния
tau Cet e,Confirmed,,,,0.538,2012,Published in a refereed paper,Radial Velocity,HD 10700 e,,tau Cet,3.65,0.783,0.793,Отсутствует значение углового расстояния
tau Cet f,Confirmed,,,,1.334,2012,Published in a refereed paper,Radial Velocity,HD 10700 f,,tau Cet,3.65,0.783,0.793,Отсутствует значение углового расстояния
tau Cet g,Confirmed,,,,0.133,2017,Published in a refereed paper,Radial Velocity,,,tau Cet,3.65,0.783,0.793,Отсутствует значение углового расстояния
tau Cet h,Confirmed,,,,0.243,2017,Published in a refereed paper,Radial Velocity,,,tau Cet,3.65,0.783,0.793,Отсутствует значение углового расстояния
GJ 1061 b,Confirmed,,,,0.021,2019,Published in a refereed paper,Radial Velocity,L 372-58 b,,GJ 1061,3.6732,0.12,0.156,Отсутствует значение углового расстояния
GJ 1061 c,Confirmed,,,,0.035,2019,Published in a refereed paper,Radial Velocity,L 372-58 c,,GJ 1061,3.6732,0.12,0.156,Отсутствует значение углового расстояния
GJ 1061 d,Confirmed,,,,0.052,2019,Published in a refereed paper,Radial Velocity,L 372-58 d,,GJ 1061,3.6732,0.12,0.156,Отсутствует значение углового расстояния
GJ 273 b,Confirmed,,,,0.09,2017,Published in a refereed paper,Radial Velocity,Luyten b,,GJ 273,3.8,0.29,0.293,Отсутствует значение углового расстояния
GJ 273 c,Confirmed,,,,0.036,2017,Published in a refereed paper,Radial Velocity,Luyten c,,GJ 273,3.8,0.29,0.293,Отсутствует значение углового расстояния
GJ 273 d,Confirmed,,,,0.712,2019,Published in a refereed paper,Radial Velocity,Luyten d,,GJ 273,3.8,0.29,0.293,Отсутствует значение углового расстояния
GJ 273 e,Confirmed,,,,0.849,2019,Published in a refereed paper,Radial Velocity,Luyten e,,GJ 273,3.8,0.29,0.293,Отсутствует значение углового расстояния
Teegarden's b,Confirmed,,,,0.0252,2019,Published in a refereed paper,Radial Velocity,GAT 1370 b,,Teegarden's,3.831,0.089,0.107,Отсутствует значение углового расстояния
Teegarden's c,Confirmed,,,,0.0443,2019,Published in a refereed paper,Radial Velocity,GAT 1370 c,,Teegarden's,3.831,0.089,0.107,Отсутствует значение углового расстояния
UGPS J0722-0540,Confirmed,18.2,,,,2010,Published in a refereed paper,Imaging,UGPS J072227.51-054031.2,,,4.06,,,Отсутствуют оба значения
Wolf 1061 b,Confirmed,,,,0.0375,2015,Published in a refereed paper,Radial Velocity,GJ 628 b,,Wolf 1061,4.29,0.25,0.307,Отсутствует значение углового расстояния
Wolf 1061 c,Confirmed,,,,0.089,2015,Published in a refereed paper,Radial Velocity,GJ 628 c,,Wolf 1061,4.29,0.25,0.307,Отсутствует значение углового расстояния
Wolf 1061 d,Confirmed,,,,0.47,2015,Published in a refereed paper,Radial Velocity,GJ 628 d,,Wolf 1061,4.29,0.25,0.307,Отсутствует значение углового расстояния
GJ 687 b,Confirmed,,,,0.16353,2014,Published in a refereed paper,Radial Velocity,,,GJ 687,4.5,0.413,0.4183,Отсутствует значение углового расстояния
GJ 674 b,Confirmed,,1.130000,0.00859,0.039,2007,Published in a refereed paper,Radial Velocity,,,GJ 674,4.54,0.35,,14.81
GJ 876 b,Confirmed,1.938,,0.044323,0.208317,2000,Published in a refereed paper,Radial Velocity,,,GJ 876,4.7,0.334,0.36,15.33
GJ 876 c,Confirmed,0.856,,0.027572,0.12959,2000,Published in a refereed paper,Radial Velocity,,,GJ 876,4.7,0.334,0.36,15.33
GJ 876 d,Confirmed,0.022,,0.004427,0.02080665,2005,Published in a refereed paper,Radial Velocity,,,GJ 876,4.7,0.334,0.36,15.33
GJ 876 e,Confirmed,0.045,,0.071128,0.3343,2010,Published in a refereed paper,Radial Velocity,,,GJ 876,4.7,0.334,0.36,15.33
GJ 832 b,Confirmed,,,0.688259,3.6,2008,Submitted to a professional journal,Radial Velocity,,,GJ 832,4.94,0.45,,17.06
GJ 832 c,Confirmed,,,,0.162,2014,Published in a refereed paper,Radial Velocity,,,GJ 832,4.94,0.45,,Отсутствует значение углового расстояния
HD 26965 b,Confirmed,,,,0.215,2018,Published in a refereed paper,Radial Velocity,,,HD 26965,4.98,0.78,0.812,Отсутствует значение углового расстояния
GJ 229 A b,Confirmed,,,,0.896,2014,Published in a refereed paper,Radial Velocity,,CH4,GJ 229,5.757,0.58,,Отсутствует значение углового расстояния
GJ 229 A c,Confirmed,,,,0.339,2020,Published in a refereed paper,Radial Velocity,,,GJ 229,5.757,0.58,,Отсутствует значение углового расстояния
GJ 229 B,Confirmed,35,,,19.433,1995,Published in a refereed paper,Imaging,Gliese 229 B,,GJ 229,5.757,0.58,,Отсутствует значение углового расстояния
GJ 570 D,Confirmed,42.5,0.855000,,1500,2000,Published in a refereed paper,Imaging,HR 5568 D,NH3,GJ 570 ABC,5.91,0.802,,Отсутствует значение углового расстояния
GJ 752 A b,Confirmed,,,,0.3357,2018,Published in a refereed paper,Radial Velocity,HD 180617 b,,GJ 752 A,5.9116,0.45,0.453,Отсутствует значение углового расстояния
SIMP0136+0933,Confirmed,12.7,,,,2017,Published in a refereed paper,Imaging,SIMP J013656.5+093347,,SIMP0136+0933 ,6,,,Отсутствуют оба значения
HD 20794 b,Confirmed,,,0.019917,0.127,2011,Published in a refereed paper,Radial Velocity,82 Eri b,,HD 20794,6.06,0.813,0.9,20.8
HD 20794 d,Confirmed,,,0.057739,0.364,2011,Published in a refereed paper,Radial Velocity,82 Eri d,,HD 20794,6.06,0.813,0.9,20.56
HD 20794 e,Confirmed,,,,0.509,2017,Published in a refereed paper,Radial Velocity,82 Eri e,,HD 20794,6.06,0.813,0.9,Отсутствует значение углового расстояния
GJ 581 b,Confirmed,,,0.006602,0.041,2005,Published in a refereed paper,Radial Velocity,,,GJ 581,6.21,0.31,0.3,20.26
GJ 581 c,Confirmed,,,0.011755,0.074,2007,Published in a refereed paper,Radial Velocity,,,GJ 581,6.21,0.31,0.3,20.53
GJ 581 e,Confirmed,,,0.004509,0.029,2009,Published in a refereed paper,Radial Velocity,,,GJ 581,6.21,0.31,0.3,20.98
HD 79211 b,Confirmed,,,,0.141,2020,Published in a refereed paper,Radial Velocity,GJ 338B b,,HD 79211,6.334,0.64,0.58,Отсутствует значение углового расстояния
GJ 625 b,Confirmed,,,,0.078399,2017,Published in a refereed paper,Radial Velocity,,,GJ 625,6.49,0.3,0.31,Отсутствует значение углового расстояния
HD 219134 b,Confirmed,0.01343,0.134000,,0.037,2015,Published in a refereed paper,Primary Transit,,,HD 219134,6.55,0.794,0.778,Отсутствует значение углового расстояния
HD 219134 c,Confirmed,0.01246,0.126240,,0.062,2015,Published in a refereed paper,Radial Velocity,,,HD 219134,6.55,0.794,0.778,Отсутствует значение углового расстояния
HD 219134 d,Confirmed,0.05236,,,0.225,2015,Published in a refereed paper,Radial Velocity,,,HD 219134,6.55,0.794,0.778,Отсутствует значение углового расстояния
HD 219134 e,Confirmed,,,,2.56,2015,Published in a refereed paper,Radial Velocity,,,HD 219134,6.55,0.794,0.778,Отсутствует значение углового расстояния
HD 219134 f,Confirmed,0.0208,,,0.139,2015,Published in a refereed paper,Default,,,HD 219134,6.55,0.794,0.778,Отсутствует значение углового расстояния
HD 219134 g,Confirmed,,,,0.3753,2015,Published in a refereed paper,Radial Velocity,,,HD 219134,6.55,0.794,0.778,Отсутствует значение углового расстояния
